SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
115 5.9e-54 2.7e-100 2.8e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
116 1.8e-54 4.0e-100 9.2e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
117 5.3e-55 2.3e-100 3.2e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
118 1.6e-55 2.3e-100 1.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
119 4.8e-56 2.5e-100 4.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
120 1.4e-56 2.8e-100 1.2e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
121 4.3e-57 3.7e-100 1.6e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
122 1.3e-57 2.3e-100 4.6e-71 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
123 3.9e-58 2.3e-100 3.1e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
124 1.2e-58 2.3e-100 2.3e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
125 3.5e-59 2.3e-100 6.9e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
126 1.1e-59 2.8e-100 2.9e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
127 3.2e-60 3.7e-100 1.3e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
128 9.5e-61 2.8e-100 2.5e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
129 2.8e-61 3.7e-100 2.1e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
130 8.5e-62 3.3e-100 2.3e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
131 2.6e-62 2.8e-100 8.5e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
132 7.7e-63 2.3e-100 2.7e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
133 2.3e-63 2.8e-100 8.6e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
134 6.9e-64 2.4e-100 7.3e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
135 2.1e-64 2.5e-100 1.2e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
136 6.2e-65 1.4e-100 2.1e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
137 1.9e-65 2.3e-100 3.6e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
138 5.6e-66 1.9e-100 7.4e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
139 1.7e-66 3.7e-100 1.2e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
140 5.0e-67 2.8e-100 2.5e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
141 1.5e-67 2.7e-100 4.0e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
142 4.5e-68 3.0e-100 7.0e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
143 1.4e-68 3.3e-100 1.3e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
144 4.1e-69 1.5e-100 2.8e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
145 1.2e-69 2.3e-100 4.8e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
146 3.7e-70 2.3e-100 9.0e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
147 1.1e-70 2.3e-100 1.7e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
148 3.3e-71 2.4e-100 2.8e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
149 9.9e-72 2.6e-100 5.5e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
150 3.0e-72 2.8e-100 9.2e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
151 8.9e-73 4.2e-100 1.6e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
152 2.7e-73 2.8e-100 2.6e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
153 8.0e-74 2.8e-100 4.0e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
154 2.4e-74 3.1e-100 5.0e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
155 7.2e-75 2.6e-100 6.7e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
156 2.2e-75 1.6e-100 2.0e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
157 6.5e-76 1.9e-100 1.3e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
158 1.9e-76 1.9e-100 1.6e-62 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
159 5.8e-77 2.8e-100 1.7e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
160 1.8e-77 2.3e-100 6.3e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
161 5.3e-78 1.9e-100 2.9e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
162 1.6e-78 3.7e-100 1.4e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
163 4.7e-79 2.3e-100 8.3e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
164 1.4e-79 3.3e-100 1.4e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
165 4.3e-80 2.8e-100 3.4e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
166 1.3e-80 2.3e-100 2.6e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
167 3.8e-81 3.7e-100 2.5e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
168 1.2e-81 3.3e-100 2.3e-59 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
169 3.5e-82 3.3e-100 9.2e-60 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
170 1.0e-82 1.9e-100 2.2e-58 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
171 3.1e-83 1.6e-100 2.7e-59 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
172 9.3e-84 2.3e-100 8.0e-58 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
173 2.8e-84 2.2e-100 1.1e-58 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
